PID pid_obj(2.3, 0 , 0.14)
Time, Theta, Acc 
-30368, 36.51, 1.08
-29032, 36.51, 1.08
-27672, 36.51, -0.84
-26300, 36.51, -0.84
-21044, 6.63, 3.84
-19748, 6.63, 3.84
-18420, 6.63, -0.15
-17108, 6.63, -0.15
-15784, 6.63, -0.15
-10576, -32.67, 6.06
-9228, -32.67, 6.06
-7896, -32.67, 0.75
-6580, -32.67, 0.75
-5252, -32.67, 0.75
-20, -68.79, 6.43
1256, -68.79, 6.43
2572, -68.79, 1.58
3888, -68.79, 1.58
9092, -80.27, 3.40
10396, -80.27, 3.40
11760, -80.27, 1.85
13132, -80.27, 1.85
14508, -80.27, 1.85
19824, -61.74, -1.03
21172, -61.74, -1.03
22548, -61.74, 1.42
23916, -61.74, 1.42
29172, -24.48, -4.42
30520, -24.48, -4.42
31896, -24.48, 0.56
-32280, -24.48, 0.56
-30916, -24.48, 0.56
-25624, 17.46, -5.97
-24272, 17.46, -5.97
-22904, 17.46, -0.40
-21544, 17.46, -0.40
-16300, 54.18, -6.17
-14952, 54.18, -6.17
-13576, 54.18, -1.25
-12196, 54.18, -1.25
-10812, 54.18, -1.25
-5524, 72.88, -4.16
-4172, 72.88, -4.16
-2840, 72.88, -1.68
-1516, 72.88, -1.68
3696, 59.30, 0.47
4980, 59.30, 0.47
6280, 59.30, -1.36
7592, 59.30, -1.36
8908, 59.30, -1.36
14108, 26.96, 3.75
15452, 26.96, 3.75
16808, 26.96, -0.62
18168, 26.96, -0.62
23420, -10.35, 5.24
24776, -10.35, 5.24
26148, -10.35, 0.24
27508, -10.35, 0.24
28876, -10.35, 0.24
-31388, -46.70, 5.92
-29984, -46.70, 5.92
-28612, -46.70, 1.07
-27252, -46.70, 1.07
-22036, -60.61, 3.27
-20680, -60.61, 3.27
-19296, -60.61, 1.39
-17920, -60.61, 1.39
-16540, -60.61, 1.39
-11240, -46.11, -0.86
-9888, -46.11, -0.86
-8568, -46.11, 1.06
-7184, -46.11, 1.06
-1952, -8.37, -4.89
-692, -8.37, -4.89
548, -8.37, 0.19
1756, -8.37, 0.19
3020, -8.37, 0.19
8164, 38.54, -7.30
9464, 38.54, -7.30
10776, 38.54, -0.89
12136, 38.54, -0.89
13500, 38.54, -0.89
18748, 60.61, -4.35
20096, 60.61, -4.35
21464, 60.61, -1.39
22840, 60.61, -1.39
28092, 75.75, -3.77
29496, 75.75, -3.77
30868, 75.75, -1.74
32232, 75.75, -1.74
-31936, 75.75, -1.74
-26680, 70.66, -0.94
-25332, 70.66, -0.94
-23968, 70.66, -1.63
-22592, 70.66, -1.63
-17316, 51.83, 1.32
-15968, 51.83, 1.32
-14604, 51.83, -1.19
-13228, 51.83, -1.19
-11792, 51.83, -1.19
-6512, 16.74, 4.28
-5216, 16.74, 4.28
-3900, 16.74, -0.38
-2580, 16.74, -0.38
2616, -26.03, 6.39
3916, -26.03, 6.39
5232, -26.03, 0.60
6544, -26.03, 0.60
7844, -26.03, 0.60
13032, -49.93, 4.39
14384, -49.93, 4.39
15748, -49.93, 1.15
17120, -49.93, 1.15
22388, -72.37, 4.66
23800, -72.37, 4.66
25172, -72.37, 1.66
26540, -72.37, 1.66
27916, -72.37, 1.66
-32388, -80.12, 2.88
-31040, -80.12, 2.88
-29664, -80.12, 1.84
-28288, -80.12, 1.84
-22980, -75.52, 1.13
-21628, -75.52, 1.13
-20244, -75.52, 1.74
-18868, -75.52, 1.74
-17488, -75.52, 1.74
-12188, -49.74, -2.28
-10836, -49.74, -2.28
-9456, -49.74, 1.14
-8124, -49.74, 1.14
-2872, -19.12, -3.66
-1556, -19.12, -3.66
-220, -19.12, 0.44
1056, -19.12, 0.44
2364, -19.12, 0.44
7548, 17.50, -5.37
8840, 17.50, -5.37
10148, 17.50, -0.40
11504, 17.50, -0.40
16720, 38.76, -3.76
18064, 38.76, -3.76
19428, 38.76, -0.89
20792, 38.76, -0.89
22152, 38.76, -0.89
27396, 49.47, -2.57
28744, 49.47, -2.57
30108, 49.47, -1.14
31472, 49.47, -1.14
-28816, 56.95, -2.31
-27464, 56.95, -2.31
-26092, 56.95, -1.31
-24720, 56.95, -1.31
-23284, 56.95, -1.31
-17992, 54.74, -0.96
-16648, 54.74, -0.96
-15276, 54.74, -1.26
-13904, 54.74, -1.26
-8644, 41.21, 0.86
-7352, 41.21, 0.86
-6040, 41.21, -0.95
-4716, 41.21, -0.95
-3400, 41.21, -0.95
1776, 26.16, 1.44
3068, 26.16, 1.44
4380, 26.16, -0.60
5688, 26.16, -0.60
6992, 26.16, -0.60
12188, -11.04, 5.29
13536, -11.04, 5.29
14896, -11.04, 0.25
16252, -11.04, 0.25
21492, -42.32, 5.17
22908, -42.32, 5.17
24276, -42.32, 0.97
25644, -42.32, 0.97
27004, -42.32, 0.97
32252, -47.86, 1.84
-31940, -47.86, 1.84
-30564, -47.86, 1.10
-29200, -47.86, 1.10
-23936, -31.33, -1.49
-22576, -31.33, -1.49
-21192, -31.33, 0.72
-19824, -31.33, 0.72
-18440, -31.33, 0.72
-13128, 5.62, -5.01
-11836, 5.62, -5.01
-10512, 5.62, -0.13
-9192, 5.62, -0.13
-4028, 47.44, -6.79
-2728, 47.44, -6.79
-1412, 47.44, -1.09
-96, 47.44, -1.09
1120, 47.44, -1.09
6392, 64.72, -3.79
7688, 64.72, -3.79
9000, 64.72, -1.49
10324, 64.72, -1.49
15564, 44.42, 1.70
16896, 44.42, 1.70
18248, 44.42, -1.02
19616, 44.42, -1.02
20972, 44.42, -1.02
26196, 7.22, 4.85
27484, 7.22, 4.85
28812, 7.22, -0.17
30120, 7.22, -0.17
31436, 7.22, -0.17
-28884, -47.32, 8.44
-27528, -47.32, 8.44
-26152, -47.32, 1.09
-24784, -47.32, 1.09
-19468, -85.26, 6.97
-18112, -85.26, 6.97
-16740, -85.26, 1.96
-15368, -85.26, 1.96
-13976, -85.26, 1.96
-8728, -85.87, 2.06
-7424, -85.87, 2.06
-6104, -85.87, 1.98
-4772, -85.87, 1.98
508, -64.06, -1.43
1768, -64.06, -1.43
3088, -64.06, 1.47
4404, -64.06, 1.47
5712, -64.06, 1.47
10884, -15.13, -6.30
12232, -15.13, -6.30
13608, -15.13, 0.35
14972, -15.13, 0.35
20224, 31.55, -6.97
21576, 31.55, -6.97
22940, 31.55, -0.73
24304, 31.55, -0.73
25676, 31.55, -0.73
30944, 70.43, -6.80
32280, 70.43, -6.80
-31896, 70.43, -1.62
-30460, 70.43, -1.62
-25208, 78.17, -2.84
-23860, 78.17, -2.84
-22476, 78.17, -1.80
-21108, 78.17, -1.80
-19744, 78.17, -1.80
-14464, 52.35, 2.24
-13112, 52.35, 2.24
-11744, 52.35, -1.20
-10376, 52.35, -1.20
-5104, 16.45, 4.41
-3804, 16.45, 4.41
-2492, 16.45, -0.38
-1172, 16.45, -0.38
140, 16.45, -0.38
5280, -34.21, 7.72
6584, -34.21, 7.72
7900, -34.21, 0.79
9232, -34.21, 0.79
10560, -34.21, 0.79
15780, -63.56, 5.41
17188, -63.56, 5.41
18564, -63.56, 1.46
19936, -63.56, 1.46
25176, -52.90, -0.21
26520, -52.90, -0.21
27892, -52.90, 1.22
29256, -52.90, 1.22
-31016, -18.49, -4.17
-29652, -18.49, -4.17
-28276, -18.49, 0.43
-26908, -18.49, 0.43
-25528, -18.49, 0.43
-20284, 18.25, -5.34
-18936, 18.25, -5.34
-17564, 18.25, -0.42
-16192, 18.25, -0.42
-10936, 53.17, -5.89
-9588, 53.17, -5.89
-8272, 53.17, -1.22
-6936, 53.17, -1.22
-5608, 53.17, -1.22
-320, 63.34, -2.81
936, 63.34, -2.81
2216, 63.34, -1.46
3532, 63.34, -1.46
4852, 63.34, -1.46
10060, 43.33, 1.71
11408, 43.33, 1.71
12772, 43.33, -1.00
14132, 43.33, -1.00
19372, 16.90, 3.15
20712, 16.90, 3.15
22064, 16.90, -0.39
23416, 16.90, -0.39
24776, 16.90, -0.39
30036, -17.64, 5.02
31380, -17.64, 5.02
32740, -17.64, 0.41
-31424, -17.64, 0.41
-26148, -48.55, 5.23
-24740, -48.55, 5.23
-23360, -48.55, 1.12
-21988, -48.55, 1.12
-20608, -48.55, 1.12
-15320, -53.39, 1.87
-13972, -53.39, 1.87
-12600, -53.39, 1.23
-11220, -53.39, 1.23
-5964, -33.83, -1.84
-4652, -33.83, -1.84
-3316, -33.83, 0.78
-1996, -33.83, 0.78
-664, -33.83, 0.78
4492, 6.25, -5.61
5740, 6.25, -5.61
7016, 6.25, -0.14
8284, 6.25, -0.14
13416, 51.34, -7.35
14756, 51.34, -7.35
16124, 51.34, -1.18
17556, 51.34, -1.18
18920, 51.34, -1.18
24164, 72.91, -4.57
25512, 72.91, -4.57
26888, 72.91, -1.68
28252, 72.91, -1.68
-32028, 56.36, 0.92
-30688, 56.36, 0.92
-29328, 56.36, -1.30
-27960, 56.36, -1.30
-26588, 56.36, -1.30
-21280, 18.67, 4.56
-19940, 18.67, 4.56
-18576, 18.67, -0.43
-17208, 18.67, -0.43
-11976, -37.65, 8.44
-10624, -37.65, 8.44
-9248, -37.65, 0.87
-7916, -37.65, 0.87
-6596, -37.65, 0.87
-1364, -66.10, 5.35
-64, -66.10, 5.35
1168, -66.10, 1.52
2484, -66.10, 1.52
3804, -66.10, 1.52
9064, -74.99, 2.91
10372, -74.99, 2.91
11736, -74.99, 1.72
13100, -74.99, 1.72
18352, -76.67, 1.99
19700, -76.67, 1.99
21064, -76.67, 1.76
22492, -76.67, 1.76
23868, -76.67, 1.76
29116, -74.67, 1.45
30460, -74.67, 1.45
31836, -74.67, 1.72
-32332, -74.67, 1.72
-27024, -42.31, -3.31
-25664, -42.31, -3.31
-24272, -42.31, 0.97
-22896, -42.31, 0.97
-17644, -4.76, -4.92
-16332, -4.76, -4.92
-15000, -4.76, 0.11
-13676, -4.76, 0.11
-12356, -4.76, 0.11
-7104, 38.68, -6.71
-5796, 38.68, -6.71
-4480, 38.68, -0.89
-3160, 38.68, -0.89
-1844, 38.68, -0.89
3372, 79.34, -7.31
4672, 79.34, -7.31
5984, 79.34, -1.82
7308, 79.34, -1.82
12540, 102.52, -5.47
13928, 102.52, -5.47
15348, 102.52, -2.36
16776, 102.52, -2.36
18192, 102.52, -2.36
23520, 92.22, -0.76
24864, 92.22, -0.76
26224, 92.22, -2.12
27656, 92.22, -2.12
-32616, 64.31, 2.25
-31268, 64.31, 2.25
-29900, 64.31, -1.48
-28524, 64.31, -1.48
-23264, 14.81, 6.27
-21920, 14.81, 6.27
-20556, 14.81, -0.34
-19188, 14.81, -0.34
-17820, 14.81, -0.34
-12536, -18.19, 4.81
-11176, -18.19, 4.81
-9800, -18.19, 0.42
-8480, -18.19, 0.42
-3248, -45.91, 4.78
-1936, -45.91, 4.78
-616, -45.91, 1.06
656, -45.91, 1.06
1920, -45.91, 1.06
7140, -44.72, 0.87
8492, -44.72, 0.87
9808, -44.72, 1.03
11116, -44.72, 1.03
12488, -44.72, 1.03
17728, -16.38, -3.44
19080, -16.38, -3.44
20452, -16.38, 0.38
21824, -16.38, 0.38
27068, 14.68, -4.50
28408, 14.68, -4.50
29772, 14.68, -0.34
31132, 14.68, -0.34
32492, 14.68, -0.34
-27792, 43.27, -4.82
-26440, 43.27, -4.82
-25072, 43.27, -1.00
-23708, 43.27, -1.00
-18388, 71.66, -5.41
-17036, 71.66, -5.41
-15660, 71.66, -1.65
-14284, 71.66, -1.65
-12912, 71.66, -1.65
-7664, 82.29, -3.32
-6308, 82.29, -3.32
-4972, 82.29, -1.89
-3648, 82.29, -1.89
1568, 76.38, -0.96
2860, 76.38, -0.96
4172, 76.38, -1.76
5488, 76.38, -1.76
6800, 76.38, -1.76
12064, 38.82, 4.12
