PID pid_obj(2.3, 0 , 0.14)
Time, Theta, Acc, Vel
-10556, 4.41, -0.10, 92.87
-4896, -2.81, 0.96, 96.79
-3220, -2.81, 0.96, 96.96
-1460, -2.81, 0.06, 96.97
232, -2.81, 0.06, 96.98
5776, -6.34, 0.59, 99.40
7448, -6.34, 0.59, 99.51
9208, -6.34, 0.15, 99.54
10912, -6.34, 0.15, 99.56
16560, -8.44, 0.45, 101.41
18328, -8.44, 0.45, 101.49
20184, -8.44, 0.19, 101.53
25896, -5.80, -0.19, 100.75
27668, -5.80, -0.19, 100.72
29456, -5.80, 0.13, 100.74
-30340, 2.51, -1.08, 96.32
-28608, 2.51, -1.08, 96.12
-26852, 2.51, -0.06, 96.11
-25100, 2.51, -0.06, 96.10
-19348, 14.02, -1.73, 88.89
-17576, 14.02, -1.73, 88.59
-15780, 14.02, -0.32, 88.54
-10008, 22.24, -1.51, 82.29
-8232, 22.24, -1.51, 82.03
-6488, 22.24, -0.51, 81.95
-4736, 22.24, -0.51, 81.87
924, 20.18, -0.21, 81.02
2652, 20.18, -0.21, 80.97
4400, 20.18, -0.46, 80.90
10064, 6.67, 1.52, 87.13
11788, 6.67, 1.52, 87.40
13528, 6.67, -0.15, 87.38
15328, 6.67, -0.15, 87.34
20988, -1.05, 0.98, 91.35
22708, -1.05, 0.98, 91.53
24444, -1.05, 0.02, 91.53
30128, -7.10, 0.91, 95.28
31852, -7.10, 0.91, 95.45
-31940, -7.10, 0.16, 95.48
-30192, -7.10, 0.16, 95.51
-24452, -13.10, 1.04, 99.80
-22688, -13.10, 1.04, 99.98
-20892, -13.10, 0.30, 100.03
-15152, -16.25, 0.76, 103.12
-13264, -16.25, 0.76, 103.30
-11424, -16.25, 0.37, 103.36
-5692, -20.48, 0.99, 107.36
-3852, -20.48, 0.99, 107.60
-2064, -20.48, 0.47, 107.68
-268, -20.48, 0.47, 107.76
5468, -21.37, 0.60, 110.25
7240, -21.37, 0.60, 110.36
9024, -21.37, 0.49, 110.44
14772, -23.02, 0.73, 113.44
16588, -23.02, 0.73, 113.57
18424, -23.02, 0.53, 113.66
24196, -18.99, -0.05, 113.44
26012, -18.99, -0.05, 113.43
27856, -18.99, 0.44, 113.50
29692, -18.99, 0.44, 113.57
-30008, -6.12, -1.41, 107.72
-28212, -6.12, -1.41, 107.47
-26388, -6.12, 0.14, 107.49
-20636, 9.66, -2.15, 98.64
-18908, 9.66, -2.15, 98.27
-17148, 9.66, -0.22, 98.24
-11512, 26.67, -2.73, 87.18
-9728, 26.67, -2.73, 86.71
-7916, 26.67, -0.61, 86.58
-6172, 26.67, -0.61, 86.48
-492, 29.96, -1.10, 82.01
1192, 29.96, -1.10, 81.81
2928, 29.96, -0.69, 81.70
8624, 29.21, -0.58, 79.32
10360, 29.21, -0.58, 79.21
12148, 29.21, -0.67, 79.10
13936, 29.21, -0.67, 78.99
19700, 18.08, 0.94, 82.89
21456, 18.08, 0.94, 83.05
23228, 18.08, -0.42, 82.98
28908, 5.09, 1.49, 89.01
30612, 5.09, 1.49, 89.27
32404, 5.09, -0.12, 89.25
-31392, 5.09, -0.12, 89.23
-25700, -0.78, 0.74, 92.29
-23972, -0.78, 0.74, 92.42
-22160, -0.78, 0.02, 92.43
-16512, -4.97, 0.63, 95.02
-14788, -4.97, 0.63, 95.13
-13028, -4.97, 0.11, 95.15
-11208, -4.97, 0.11, 95.18
-5528, -13.58, 1.38, 100.80
-3752, -13.58, 1.38, 101.05
-1944, -13.58, 0.31, 101.10
3800, -15.50, 0.59, 103.53
5568, -15.50, 0.59, 103.64
7356, -15.50, 0.36, 103.70
13104, -6.56, -0.94, 99.81
14836, -6.56, -0.94, 99.64
16592, -6.56, 0.15, 99.67
18344, -6.56, 0.15, 99.69
24092, 4.96, -1.52, 93.36
25828, 4.96, -1.52, 93.08
27568, 4.96, -0.11, 93.06
-32328, 4.75, -0.08, 92.72
-30556, 4.75, -0.08, 92.70
-28828, 4.75, -0.11, 92.68
-27076, 4.75, -0.11, 92.66
-21376, -3.75, 1.14, 97.33
-19584, -3.75, 1.14, 97.60
-17828, -3.75, 0.09, 97.62
-12164, -8.92, 0.85, 101.07
-10392, -8.92, 0.85, 101.22
-8528, -8.92, 0.21, 101.27
-6768, -8.92, 0.21, 101.30
-1088, -9.05, 0.22, 102.22
644, -9.05, 0.22, 102.26
2388, -9.05, 0.21, 102.31
8052, -7.37, -0.04, 102.15
9780, -7.37, -0.04, 102.14
11524, -7.37, 0.17, 102.17
17272, -1.33, -0.71, 99.25
19008, -1.33, -0.71, 99.12
20768, -1.33, 0.03, 99.12
22512, -1.33, 0.03, 99.13
28244, 9.45, -1.54, 92.75
29972, 9.45, -1.54, 92.48
31720, 9.45, -0.22, 92.44
-28144, 19.57, -1.70, 85.49
-26368, 19.57, -1.70, 85.19
-24576, 19.57, -0.45, 85.12
-22780, 19.57, -0.45, 85.05
-17064, 20.41, -0.57, 82.71
-15224, 20.41, -0.57, 82.57
-13432, 20.41, -0.47, 82.50
-7732, 10.39, 1.00, 86.54
-6004, 10.39, 1.00, 86.72
-4268, 10.39, -0.24, 86.68
-2468, 10.39, -0.24, 86.63
3208, 4.24, 0.67, 89.35
4876, 4.24, 0.67, 89.47
6564, 4.24, -0.10, 89.45
12224, -0.45, 0.59, 91.90
13940, -0.45, 0.59, 92.01
15684, -0.45, 0.01, 92.01
17404, -0.45, 0.01, 92.01
23120, -6.61, 0.91, 95.79
24848, -6.61, 0.91, 95.95
26596, -6.61, 0.15, 95.98
32224, -10.18, 0.68, 98.71
-31472, -10.18, 0.68, 98.88
-29672, -10.18, 0.23, 98.92
-27876, -10.18, 0.23, 98.96
-22132, -13.50, 0.72, 101.90
-20252, -13.50, 0.72, 102.07
-18408, -13.50, 0.31, 102.12
-12672, -8.81, -0.37, 100.62
-10884, -8.81, -0.37, 100.56
-9016, -8.81, 0.20, 100.60
-3364, 0.28, -1.14, 95.97
-1680, 0.28, -1.14, 95.77
24, 0.28, -0.01, 95.77
1664, 0.28, -0.01, 95.76
7268, 5.94, -0.85, 92.30
8932, 5.94, -0.85, 92.16
10628, 5.94, -0.14, 92.14
16308, 9.98, -0.73, 89.15
18028, 9.98, -0.73, 89.02
19768, 9.98, -0.23, 88.98
21496, 9.98, -0.23, 88.95
27136, 14.60, -0.91, 85.26
28964, 14.60, -0.91, 85.05
30740, 14.60, -0.34, 84.99
-29120, 11.91, 0.06, 85.23
-27356, 11.91, 0.06, 85.25
-25568, 11.91, -0.27, 85.20
-23716, 11.91, -0.27, 85.14
-17972, 2.63, 1.07, 89.54
-16252, 2.63, 1.07, 89.74
-14508, 2.63, -0.06, 89.73
-8804, -7.78, 1.46, 95.75
-7116, -7.78, 1.46, 96.02
-5420, -7.78, 0.18, 96.05
-3720, -7.78, 0.18, 96.08
1964, -17.11, 1.55, 102.50
3740, -17.11, 1.55, 102.77
5552, -17.11, 0.39, 102.84
11248, -17.38, 0.43, 104.60
13120, -17.38, 0.43, 104.70
14964, -17.38, 0.40, 104.77
20704, -16.45, 0.27, 105.84
22584, -16.45, 0.27, 105.91
24424, -16.45, 0.38, 105.97
26268, -16.45, 0.38, 106.03
32108, -8.18, -0.81, 102.67
-31644, -8.18, -0.81, 102.52
-29840, -8.18, 0.19, 102.55
-24160, 0.00, -1.01, 98.47
-22392, 0.00, -1.01, 98.22
-20664, 0.00, -0.00, 98.22
-18940, 0.00, -0.00, 98.22
-13324, 11.09, -1.64, 91.57
-11544, 11.09, -1.64, 91.28
-9692, 11.09, -0.25, 91.22
-4040, 30.48, -3.11, 78.55
-2308, 30.48, -3.11, 78.01
-556, 30.48, -0.70, 77.90
1140, 30.48, -0.70, 77.78
6860, 46.37, -3.02, 65.27
8592, 46.37, -3.02, 64.75
10332, 46.37, -1.07, 64.57
16008, 45.17, -0.89, 60.98
17780, 45.17, -0.89, 60.82
19568, 45.17, -1.04, 60.65
25296, 36.16, 0.27, 61.76
27068, 36.16, 0.27, 61.81
28860, 36.16, -0.83, 61.68
30648, 36.16, -0.83, 61.54
-29172, 14.27, 2.36, 71.17
-27392, 14.27, 2.36, 71.58
-25532, 14.27, -0.33, 71.50
-19856, -15.36, 4.02, 87.76
-18072, -15.36, 4.02, 88.49
-16268, -15.36, 0.35, 88.55
-14468, -15.36, 0.35, 88.61
-8684, -31.15, 2.64, 99.51
-6940, -31.15, 2.64, 99.97
-5184, -31.15, 0.72, 100.09
564, -35.31, 1.32, 105.52
2300, -35.31, 1.32, 105.74
4112, -35.31, 0.81, 105.88
9792, -27.32, -0.36, 104.43
11640, -27.32, -0.36, 104.34
13496, -27.32, 0.63, 104.45
15340, -27.32, 0.63, 104.55
21100, -17.38, -0.81, 101.23
22988, -17.38, -0.81, 101.05
24840, -17.38, 0.40, 101.11
30568, -8.05, -0.96, 97.23
32296, -8.05, -0.96, 97.05
-31444, -8.05, 0.19, 97.10
-25796, -1.95, -0.72, 94.19
-24060, -1.95, -0.72, 94.06
-22304, -1.95, 0.04, 94.07
-20512, -1.95, 0.04, 94.08
-14856, -4.64, 0.44, 95.87
-13128, -4.64, 0.44, 95.95
-11380, -4.64, 0.11, 95.97
-5656, -9.10, 0.76, 99.09
-3976, -9.10, 0.76, 99.23
-2280, -9.10, 0.21, 99.26
-580, -9.10, 0.21, 99.30
5072, -3.26, -0.65, 96.58
6756, -3.26, -0.65, 96.47
8464, -3.26, 0.08, 96.48
14108, 10.37, -1.94, 88.51
15888, 10.37, -1.94, 88.18
17688, 10.37, -0.24, 88.14
19484, 10.37, -0.24, 88.10
25184, 21.83, -1.91, 80.30
27012, 21.83, -1.91, 79.85
28804, 21.83, -0.50, 79.77
-31084, 23.38, -0.73, 76.83
-29304, 23.38, -0.73, 76.71
-27504, 23.38, -0.54, 76.62
-25712, 23.38, -0.54, 76.53
-19944, 23.77, -0.59, 74.09
-18168, 23.77, -0.59, 73.98
-16372, 23.77, -0.55, 73.89
-10708, 15.52, 0.67, 76.57
-8872, 15.52, 0.67, 76.73
-7128, 15.52, -0.36, 76.67
-1500, 0.79, 1.82, 84.02
176, 0.79, 1.82, 84.36
1804, 0.79, -0.02, 84.36
3552, 0.79, -0.02, 84.35
9116, -9.17, 1.47, 90.30
10796, -9.17, 1.47, 90.56
12548, -9.17, 0.21, 90.60
14284, -9.17, 0.21, 90.63
19972, -17.91, 1.49, 96.75
21752, -17.91, 1.49, 97.02
23540, -17.91, 0.41, 97.08
29252, -21.07, 0.87, 100.64
31068, -21.07, 0.87, 100.80
-32632, -21.07, 0.48, 100.88
-26924, -13.71, -0.59, 98.51
-25072, -13.71, -0.59, 98.37
-23264, -13.71, 0.32, 98.43
-21452, -13.71, 0.32, 98.48
-15740, -9.14, -0.35, 97.05
-13948, -9.14, -0.35, 96.96
-12184, -9.14, 0.21, 97.00
-6536, -7.61, -0.01, 96.94
-4852, -7.61, -0.01, 96.93
-3096, -7.61, 0.18, 96.97
-1388, -7.61, 0.18, 97.00
4240, -6.39, -0.01, 96.98
5912, -6.39, -0.01, 96.98
7668, -6.39, 0.15, 97.01
13268, -9.34, 0.58, 99.39
14992, -9.34, 0.58, 99.50
16736, -9.34, 0.21, 99.53
18540, -9.34, 0.21, 99.58
24176, -11.53, 0.54, 101.76
25996, -11.53, 0.54, 101.86
27844, -11.53, 0.27, 101.90
-31896, -5.91, -0.55, 99.65
-30156, -5.91, -0.55, 99.56
-28388, -5.91, 0.14, 99.58
-26628, -5.91, 0.14, 99.60
-20916, 5.55, -1.53, 93.27
-19184, 5.55, -1.53, 93.00
-17444, 5.55, -0.13, 92.98
-11768, 15.65, -1.61, 86.41
-9984, 15.65, -1.61, 86.13
-8232, 15.65, -0.36, 86.07
-2580, 16.04, -0.42, 84.38
-852, 16.04, -0.42, 84.30
884, 16.04, -0.37, 84.22
2572, 16.04, -0.37, 84.16
8216, 8.44, 0.75, 87.23
9880, 8.44, 0.75, 87.36
11572, 8.44, -0.19, 87.32
13376, 8.44, -0.19, 87.28
18988, 3.86, 0.48, 89.23
20704, 3.86, 0.48, 89.31
22440, 3.86, -0.09, 89.30
28104, -4.18, 1.09, 93.77
29828, -4.18, 1.09, 93.97
31568, -4.18, 0.10, 93.99
-32220, -4.18, 0.10, 94.01
-26504, -11.67, 1.19, 98.93
-24724, -11.67, 1.19, 99.14
-22916, -11.67, 0.27, 99.18
-17220, -14.64, 0.70, 102.03
-15344, -14.64, 0.70, 102.20
-13508, -14.64, 0.34, 102.25
-7780, -17.89, 0.81, 105.52
-6000, -17.89, 0.81, 105.67
-4148, -17.89, 0.41, 105.76
-2348, -17.89, 0.41, 105.83
3352, -14.70, -0.06, 105.60
5112, -14.70, -0.06, 105.59
6960, -14.70, 0.34, 105.67
12632, -12.49, 0.01, 105.72
14440, -12.49, 0.01, 105.73
16276, -12.49, 0.29, 105.77
22064, -11.15, 0.09, 106.16
23876, -11.15, 0.09, 106.18
25720, -11.15, 0.26, 106.22
27616, -11.15, 0.26, 106.27
-32128, -8.25, -0.16, 105.61
-30336, -8.25, -0.16, 105.58
-28528, -8.25, 0.19, 105.61
-22744, -2.36, -0.66, 102.87
-20956, -2.36, -0.66, 102.75
-19152, -2.36, 0.05, 102.76
-13416, -0.00, -0.29, 101.58
-11644, -0.00, -0.29, 101.52
-9856, -0.00, 0.00, 101.52
-8140, -0.00, 0.00, 101.52
-2440, 1.40, -0.20, 100.67
-716, 1.40, -0.20, 100.64
960, 1.40, -0.03, 100.63
6552, -3.02, 0.63, 103.18
8340, -3.02, 0.63, 103.33
10072, -3.02, 0.07, 103.34
11860, -3.02, 0.07, 103.35
17552, -10.08, 1.10, 107.84
19420, -10.08, 1.10, 108.10
21256, -10.08, 0.23, 108.14
26992, -12.68, 0.61, 110.62
28876, -12.68, 0.61, 110.77
30716, -12.68, 0.29, 110.81
-29104, -12.48, 0.26, 111.87
-27220, -12.48, 0.26, 111.93
-25368, -12.48, 0.29, 111.98
-23520, -12.48, 0.29, 112.03
-17688, -12.70, 0.32, 113.36
-15864, -12.70, 0.32, 113.41
-14012, -12.70, 0.29, 113.46
-8192, -6.54, -0.59, 111.00
-6460, -6.54, -0.59, 110.90
-4712, -6.54, 0.15, 110.92
988, 7.14, -1.85, 103.32
2680, 7.14, -1.85, 102.99
4424, 7.14, -0.16, 102.96
6172, 7.14, -0.16, 102.94
11856, 18.72, -1.86, 95.31
13636, 18.72, -1.86, 94.99
15428, 18.72, -0.43, 94.91
21120, 23.17, -1.08, 90.52
22952, 23.17, -1.08, 90.27
24744, 23.17, -0.53, 90.18
26532, 23.17, -0.53, 90.10
32244, 25.60, -0.89, 86.48
-31528, 25.60, -0.89, 86.32
-29672, 25.60, -0.59, 86.19
-24028, 28.04, -0.95, 82.38
-22256, 28.04, -0.95, 82.21
-20464, 28.04, -0.64, 82.11
-14740, 23.47, 0.02, 82.19
-12976, 23.47, 0.02, 82.20
-11192, 23.47, -0.54, 82.11
-9396, 23.47, -0.54, 82.02
-3736, 9.63, 1.50, 88.09
-2004, 9.63, 1.50, 88.45
-320, 9.63, -0.22, 88.42
5224, -5.51, 2.05, 96.73
6896, -5.51, 2.05, 97.09
8648, -5.51, 0.13, 97.12
10352, -5.51, 0.13, 97.14
15984, -17.44, 1.89, 104.77
17816, -17.44, 1.89, 105.13
19716, -17.44, 0.40, 105.22
25424, -27.08, 1.81, 112.51
27248, -27.08, 1.81, 112.83
29152, -27.08, 0.62, 112.97
30984, -27.08, 0.62, 113.07
-28804, -32.90, 1.47, 119.06
-26924, -32.90, 1.47, 119.41
-25072, -32.90, 0.76, 119.53
-19344, -30.16, 0.36, 120.98
-17464, -30.16, 0.36, 121.06
-15616, -30.16, 0.69, 121.18
-9900, -19.08, -0.92, 117.46
-8060, -19.08, -0.92, 117.23
-6264, -19.08, 0.44, 117.31
-4460, -19.08, 0.44, 117.38
1292, -7.91, -1.18, 112.52
3032, -7.91, -1.18, 112.31
4800, -7.91, 0.18, 112.34
10512, -2.81, -0.56, 110.01
12284, -2.81, -0.56, 109.92
14088, -2.81, 0.06, 109.93
19856, -2.92, 0.08, 110.26
21620, -2.92, 0.08, 110.27
23404, -2.92, 0.07, 110.29
25196, -2.92, 0.07, 110.30
30968, -6.03, 0.52, 112.44
32736, -6.03, 0.52, 112.53
-31008, -6.03, 0.14, 112.55
-25236, -7.29, 0.32, 113.88
-23456, -7.29, 0.32, 113.94
-21656, -7.29, 0.17, 113.96
-19848, -7.29, 0.17, 113.99
-14076, -0.66, -0.79, 110.72
-12296, -0.66, -0.79, 110.58
-10492, -0.66, 0.02, 110.58
-4720, 4.70, -0.76, 107.43
-2992, 4.70, -0.76, 107.29
-1260, 4.70, -0.11, 107.27
4384, 10.53, -0.97, 103.35
6220, 10.53, -0.97, 103.12
8008, 10.53, -0.24, 103.08
9792, 10.53, -0.24, 103.04
15516, 9.43, -0.08, 102.70
17320, 9.43, -0.08, 102.69
19100, 9.43, -0.22, 102.65
24780, 11.13, -0.47, 100.77
26592, 11.13, -0.47, 100.69
28496, 11.13, -0.26, 100.63
-31320, 14.56, -0.76, 97.58
-29544, 14.56, -0.76, 97.45
-27752, 14.56, -0.33, 97.40
-25896, 14.56, -0.33, 97.32
-20184, 12.00, 0.04, 97.48
-18448, 12.00, 0.04, 97.49
-16672, 12.00, -0.28, 97.44
-10904, 7.36, 0.40, 99.08
-9196, 7.36, 0.40, 99.16
-7508, 7.36, -0.17, 99.13
-5796, 7.36, -0.17, 99.10
-120, 5.19, 0.15, 99.72
1516, 5.19, 0.15, 99.74
3208, 5.19, -0.12, 99.72
8840, 6.53, -0.32, 98.42
10520, 6.53, -0.32, 98.37
12268, 6.53, -0.15, 98.34
14008, 6.53, -0.15, 98.32
19716, 4.99, 0.07, 98.63
21416, 4.99, 0.07, 98.64
23144, 4.99, -0.11, 98.62
28780, -1.51, 0.85, 102.05
30600, -1.51, 0.85, 102.25
32400, -1.51, 0.03, 102.25
-31344, -1.51, 0.03, 102.26
-25616, -7.10, 0.85, 105.74
-23788, -7.10, 0.85, 105.94
-21980, -7.10, 0.16, 105.96
-16272, -6.23, 0.04, 106.11
-14504, -6.23, 0.04, 106.12
-12644, -6.23, 0.14, 106.15
-6944, -3.75, -0.22, 105.26
-5204, -3.75, -0.22, 105.22
-3440, -3.75, 0.09, 105.23
-1632, -3.75, 0.09, 105.25
4032, -5.40, 0.33, 106.59
5760, -5.40, 0.33, 106.65
7500, -5.40, 0.12, 106.67
13188, -7.60, 0.45, 108.51
14968, -7.60, 0.45, 108.59
16760, -7.60, 0.17, 108.62
18616, -7.60, 0.17, 108.66
24336, -4.39, -0.29, 107.46
26116, -4.39, -0.29, 107.41
27980, -4.39, 0.10, 107.43
-31856, -0.49, -0.47, 105.52
-30072, -0.49, -0.47, 105.43
-28268, -0.49, 0.01, 105.44
-22488, 0.42, -0.12, 104.94
-20712, 0.42, -0.12, 104.91
-18912, 0.42, -0.01, 104.91
-17124, 0.42, -0.01, 104.91
-11348, 6.76, -0.93, 101.06
-9572, 6.76, -0.93, 100.90
-7828, 6.76, -0.16, 100.87
-2144, 17.96, -1.80, 93.51
-416, 17.96, -1.80, 93.20
1276, 17.96, -0.41, 93.13
3008, 17.96, -0.41, 93.07
8688, 25.33, -1.49, 86.95
10420, 25.33, -1.49, 86.69
12212, 25.33, -0.58, 86.60
17864, 17.93, 0.51, 88.64
19636, 17.93, 0.51, 88.73
21480, 17.93, -0.41, 88.64
23272, 17.93, -0.41, 88.58
28980, 2.48, 1.85, 96.09
30688, 2.48, 1.85, 96.41
32488, 2.48, -0.06, 96.40
-27444, -2.56, 0.69, 99.19
-25720, -2.56, 0.69, 99.32
-23964, -2.56, 0.06, 99.33
-22156, -2.56, 0.06, 99.34
-16520, -9.25, 1.05, 103.59
-14740, -9.25, 1.05, 103.77
-12936, -9.25, 0.21, 103.81
-7192, -8.06, 0.04, 103.97
-5476, -8.06, 0.04, 103.98
-3740, -8.06, 0.19, 104.01
1952, 6.05, -1.88, 96.27
3624, 6.05, -1.88, 95.94
5312, 6.05, -0.14, 95.92
6996, 6.05, -0.14, 95.89
12592, 20.80, -2.33, 86.42
14364, 20.80, -2.33, 86.00
16140, 20.80, -0.48, 85.93
17932, 20.80, -0.48, 85.84
23624, 21.08, -0.52, 83.73
25444, 21.08, -0.52, 83.61
27240, 21.08, -0.48, 83.53
-32636, 9.50, 1.22, 88.45
-30924, 9.50, 1.22, 88.66
-29176, 9.50, -0.22, 88.63
-23484, 6.50, 0.22, 89.53
-21776, 6.50, 0.22, 89.57
-20032, 6.50, -0.15, 89.55
-18284, 6.50, -0.15, 89.52
-12600, 1.89, 0.53, 91.68
-10880, 1.89, 0.53, 91.77
-9136, 1.89, -0.04, 91.76
-3608, 0.05, 0.23, 92.69
-1944, 0.05, 0.23, 92.74
-216, 0.05, -0.00, 92.74
1404, 0.05, -0.00, 92.74
6968, 3.68, -0.54, 90.53
8648, 3.68, -0.54, 90.43
10344, 3.68, -0.08, 90.42
12132, 3.68, -0.08, 90.40
17744, 7.08, -0.59, 88.03
19448, 7.08, -0.59, 87.93
21196, 7.08, -0.16, 87.90
26912, 2.86, 0.45, 89.77
28616, 2.86, 0.45, 89.85
30356, 2.86, -0.07, 89.84
32088, 2.86, -0.07, 89.83
-27804, -2.58, 0.74, 92.84
-26016, -2.58, 0.74, 93.01
-24264, -2.58, 0.06, 93.02
-18640, -2.10, -0.01, 92.98
-16920, -2.10, -0.01, 92.97
-15120, -2.10, 0.05, 92.98
-13384, -2.10, 0.05, 92.99
-7704, 2.47, -0.62, 90.44
-6016, 2.47, -0.62, 90.32
-4316, 2.47, -0.06, 90.31
1324, 1.89, 0.03, 90.43
2984, 1.89, 0.03, 90.44
4672, 1.89, -0.04, 90.43
6360, 1.89, -0.04, 90.42
11980, 3.47, -0.28, 89.29
13704, 3.47, -0.28, 89.24
15452, 3.47, -0.08, 89.23
21072, 13.64, -1.58, 82.82
22848, 13.64, -1.58, 82.55
24704, 13.64, -0.31, 82.48
26496, 13.64, -0.31, 82.42
32188, 24.71, -1.94, 74.57
-31572, 24.71, -1.94, 74.23
-29772, 24.71, -0.57, 74.13
-24032, 28.85, -1.17, 69.35
-22252, 28.85, -1.17, 69.15
-20444, 28.85, -0.66, 69.03
-14764, 21.56, 0.41, 70.67
-12988, 21.56, 0.41, 70.75
-11196, 21.56, -0.50, 70.66
-9344, 21.56, -0.50, 70.55
-3688, 10.96, 1.06, 74.88
-1968, 10.96, 1.06, 75.07
-244, 10.96, -0.25, 75.03
5396, 8.48, 0.11, 75.50
7052, 8.48, 0.11, 75.52
8744, 8.48, -0.19, 75.49
10440, 8.48, -0.19, 75.46
16092, 4.46, 0.40, 77.08
17796, 4.46, 0.40, 77.14
19588, 4.46, -0.10, 77.12
25200, 5.72, -0.29, 75.95
26920, 5.72, -0.29, 75.90
28656, 5.72, -0.13, 75.88
30396, 5.72, -0.13, 75.86
-29420, 17.12, -1.79, 68.46
-27636, 17.12, -1.79, 68.14
-25840, 17.12, -0.39, 68.07
-20144, 23.40, -1.31, 62.74
-18372, 23.40, -1.31, 62.51
-16576, 23.40, -0.54, 62.43
-14784, 23.40, -0.54, 62.34
-9016, 25.53, -0.85, 58.84
-7292, 25.53, -0.85, 58.69
-5552, 25.53, -0.59, 58.59
92, 27.03, -0.81, 55.32
1724, 27.03, -0.81, 55.18
3456, 27.03, -0.62, 55.08
5248, 27.03, -0.62, 54.94
10856, 19.77, 0.45, 56.76
12620, 19.77, 0.45, 56.84
14400, 19.77, -0.45, 56.77
20072, 18.71, -0.30, 55.56
21840, 18.71, -0.30, 55.51
23692, 18.71, -0.43, 55.41
25476, 18.71, -0.43, 55.34
31200, 12.89, 0.42, 57.05
-32572, 12.89, 0.42, 57.13
-30784, 12.89, -0.30, 57.08
-25116, 20.89, -1.47, 51.13
-23336, 20.89, -1.47, 50.87
-21476, 20.89, -0.48, 50.76
-15808, 19.43, -0.27, 49.69
-14032, 19.43, -0.27, 49.64
-12232, 19.43, -0.45, 49.57
-10440, 19.43, -0.45, 49.50
-4732, 22.08, -0.83, 46.10
-3012, 22.08, -0.83, 45.95
-1284, 22.08, -0.51, 45.87
4416, 14.20, 0.64, 48.52
6124, 14.20, 0.64, 48.63
7856, 14.20, -0.33, 48.58
9592, 14.20, -0.33, 48.53
15232, 12.93, -0.14, 47.96
17000, 12.93, -0.14, 47.94
18792, 12.93, -0.30, 47.89
24540, 2.49, 1.22, 52.92
26260, 2.49, 1.22, 53.13
28004, 2.49, -0.06, 53.12
29736, 2.49, -0.06, 53.12
-30168, 3.60, -0.22, 52.22
-28448, 3.60, -0.22, 52.18
-26704, 3.60, -0.08, 52.17
-20992, -4.42, 1.09, 56.67
-19268, -4.42, 1.09, 56.86
-17520, -4.42, 0.10, 56.88
-15776, -4.42, 0.10, 56.89
-10096, -3.87, 0.02, 56.97
-8384, -3.87, 0.02, 56.98
-6688, -3.87, 0.09, 56.99
-1040, -4.93, 0.25, 58.00
632, -4.93, 0.25, 58.05
2276, -4.93, 0.11, 58.07
3968, -4.93, 0.11, 58.09
9584, 2.40, -0.97, 54.11
11256, 2.40, -0.97, 53.93
12996, 2.40, -0.06, 53.92
18680, 4.74, -0.40, 52.28
20384, 4.74, -0.40, 52.21
22128, 4.74, -0.11, 52.20
23868, 4.74, -0.11, 52.18
29512, 14.01, -1.48, 46.19
31288, 14.01, -1.48, 45.94
-32452, 14.01, -0.32, 45.88
-26780, 15.74, -0.58, 43.55
-25008, 15.74, -0.58, 43.45
-23148, 15.74, -0.36, 43.37
-21352, 15.74, -0.36, 43.31
-15652, 22.22, -1.31, 37.99
-13872, 22.22, -1.31, 37.77
-12068, 22.22, -0.51, 37.69
-6372, 30.16, -1.67, 30.91
-4636, 30.16, -1.67, 30.62
-2884, 30.16, -0.69, 30.52
-1136, 30.16, -0.69, 30.40
4516, 24.45, 0.15, 31.00
6228, 24.45, 0.15, 31.03
7948, 24.45, -0.56, 30.94
13652, 26.89, -0.92, 27.16
15424, 26.89, -0.92, 27.00
17204, 26.89, -0.62, 26.90
18996, 26.89, -0.62, 26.79
24696, 27.91, -0.77, 23.66
26464, 27.91, -0.77, 23.53
28260, 27.91, -0.64, 23.43
-31596, 12.87, 1.57, 29.77
-29824, 12.87, 1.57, 30.04
-28032, 12.87, -0.30, 29.99
-22304, 13.50, -0.39, 28.40
-20544, 13.50, -0.39, 28.33
-18756, 13.50, -0.31, 28.29
-16960, 13.50, -0.31, 28.23
-11256, 20.91, -1.40, 22.56
-9488, 20.91, -1.40, 22.32
-7736, 20.91, -0.48, 22.24
-2096, 16.11, 0.23, 23.17
-368, 16.11, 0.23, 23.21
1328, 16.11, -0.37, 23.15
3064, 16.11, -0.37, 23.09
8684, 20.05, -0.95, 19.24
10404, 20.05, -0.95, 19.07
12180, 20.05, -0.46, 19.00
17832, 32.54, -2.30, 9.71
19552, 32.54, -2.30, 9.30
21296, 32.54, -0.75, 9.18
23044, 32.54, -0.75, 9.06
28712, 34.44, -1.03, 4.86
30420, 34.44, -1.03, 4.68
32168, 34.44, -0.79, 4.55
-27724, 20.33, 1.29, 9.80
-26008, 20.33, 1.29, 10.02
-24212, 20.33, -0.47, 9.95
-22456, 20.33, -0.47, 9.87
-16788, -3.68, 3.06, 22.33
-15000, -3.68, 3.06, 23.05
-13248, -3.68, 0.08, 23.07
-7640, -25.60, 3.33, 36.53
-5900, -25.60, 3.33, 37.13
-4144, -25.60, 0.59, 37.23
-2400, -25.60, 0.59, 37.33
3248, -34.15, 1.85, 44.83
4976, -34.15, 1.85, 45.16
6736, -34.15, 0.79, 45.29
12440, -25.51, -0.48, 43.31
14220, -25.51, -0.48, 43.23
16024, -25.51, 0.59, 43.32
17820, -25.51, 0.59, 43.42
23536, 11.54, -4.82, 23.77
