PID pid_obj(2.3, 0 , 0.14)
Time, Theta, Acc, Vel
-25716, -42.63, 0.98, 4.32
-20040, -11.66, -3.57, -10.24
-18248, -11.66, -3.57, -10.87
-16440, -11.66, 0.27, -10.83
-10752, 20.99, -4.52, -29.08
-8916, 20.99, -4.52, -30.13
-7156, 20.99, -0.48, -30.21
-5408, 20.99, -0.48, -30.29
240, 38.06, -3.00, -42.45
1912, 38.06, -3.00, -42.96
3648, 38.06, -0.88, -43.10
9264, 33.98, -0.27, -44.19
10988, 33.98, -0.27, -44.24
12784, 33.98, -0.78, -44.37
14640, 33.98, -0.78, -44.54
20356, 8.51, 2.93, -32.55
22084, 8.51, 2.93, -32.03
23836, 8.51, -0.20, -32.06
29468, -31.65, 5.74, -8.76
31204, -31.65, 5.74, -7.75
-32568, -31.65, 0.73, -7.63
-30808, -31.65, 0.73, -7.51
-25132, -51.50, 3.64, 7.32
-23400, -51.50, 3.64, 7.99
-21648, -51.50, 1.18, 8.19
-16012, -66.98, 3.47, 22.19
-14232, -66.98, 3.47, 22.83
-12432, -66.98, 1.54, 23.08
-10628, -66.98, 1.54, 23.35
-4856, -64.27, 1.15, 28.09
-3128, -64.27, 1.15, 28.30
-1376, -64.27, 1.48, 28.53
4308, -42.27, -1.75, 21.38
6040, -42.27, -1.75, 21.07
7796, -42.27, 0.97, 21.23
13460, -17.06, -2.74, 10.07
15232, -17.06, -2.74, 9.59
16988, -17.06, 0.39, 9.65
18728, -17.06, 0.39, 9.72
24372, 14.20, -4.22, -7.40
26100, 14.20, -4.22, -8.15
27864, 14.20, -0.33, -8.20
-32052, 49.97, -5.62, -30.85
-30208, 49.97, -5.62, -32.15
-28396, 49.97, -1.15, -32.34
-26588, 49.97, -1.15, -32.54
-20888, 71.83, -4.35, -50.14
-19100, 71.83, -4.35, -50.89
-17288, 71.83, -1.65, -51.16
-11552, 71.34, -1.58, -57.61
-9696, 71.34, -1.58, -57.98
-7928, 71.34, -1.64, -58.25
-6168, 71.34, -1.64, -58.53
-464, 44.96, 2.21, -49.47
1228, 44.96, 2.21, -49.09
2960, 44.96, -1.03, -49.25
8616, 4.26, 4.96, -29.10
10288, 4.26, 4.96, -28.21
12040, 4.26, -0.10, -28.22
13780, 4.26, -0.10, -28.24
19444, -27.91, 4.64, -9.32
21180, -27.91, 4.64, -8.49
22944, -27.91, 0.64, -8.38
28612, -46.72, 3.40, 5.50
30332, -46.72, 3.40, 6.09
32076, -46.72, 1.07, 6.28
-31708, -46.72, 1.07, 6.46
-26040, -33.08, -0.93, 2.68
-24316, -33.08, -0.93, 2.51
-22564, -33.08, 0.76, 2.64
-16920, 3.44, -4.63, -16.13
-15168, 3.44, -4.63, -17.03
-13360, 3.44, -0.08, -17.05
-11616, 3.44, -0.08, -17.07
-5960, 39.42, -5.38, -38.95
-4224, 39.42, -5.38, -39.88
-2456, 39.42, -0.91, -40.03
3196, 54.38, -3.11, -52.67
4928, 54.38, -3.11, -53.20
6740, 54.38, -1.25, -53.47
12388, 46.45, -0.08, -53.80
14148, 46.45, -0.08, -53.81
15936, 46.45, -1.07, -53.98
17732, 46.45, -1.07, -54.16
23440, 5.43, 4.93, -34.09
25160, 5.43, 4.93, -33.22
26916, 5.43, -0.12, -33.25
32548, -28.03, 4.82, -13.79
-31208, -28.03, 4.82, -12.95
-29396, -28.03, 0.64, -12.84
-27580, -28.03, 0.64, -12.72
-21840, -55.27, 4.60, 6.14
-20108, -55.27, 4.60, 6.95
-18348, -55.27, 1.27, 7.17
-12680, -52.00, 0.79, 10.39
-10904, -52.00, 0.79, 10.53
-9112, -52.00, 1.20, 10.73
-7364, -52.00, 1.20, 10.93
-1724, -15.39, -4.21, -6.13
-16, -15.39, -4.21, -6.90
1608, -15.39, 0.35, -6.84
7160, 28.24, -6.17, -31.58
8960, 28.24, -6.17, -33.04
10708, 28.24, -0.65, -33.14
12508, 28.24, -0.65, -33.25
18216, 54.85, -4.54, -51.66
19996, 54.85, -4.54, -52.46
21804, 54.85, -1.26, -52.67
27504, 54.70, -1.24, -57.69
29344, 54.70, -1.24, -57.99
31148, 54.70, -1.26, -58.19
-28716, 31.72, 2.12, -49.66
-26928, 31.72, 2.12, -49.29
-25120, 31.72, -0.73, -49.41
-23304, 31.72, -0.73, -49.53
-17568, -6.79, 4.88, -29.58
-15828, -6.79, 4.88, -28.70
-14064, -6.79, 0.16, -28.67
-8388, -35.42, 4.36, -10.88
-6640, -35.42, 4.36, -10.11
-4868, -35.42, 0.81, -9.98
-3160, -35.42, 0.81, -9.84
2472, -50.34, 3.02, 2.48
4148, -50.34, 3.02, 3.04
5836, -50.34, 1.16, 3.23
11452, -33.54, -1.33, -2.18
13180, -33.54, -1.33, -2.42
14952, -33.54, 0.77, -2.29
16708, -33.54, 0.77, -2.16
22380, 5.75, -5.00, -22.57
24160, 5.75, -5.00, -23.75
25896, 5.75, -0.13, -23.77
31532, 44.44, -5.85, -47.47
-32224, 44.44, -5.85, -48.48
-30416, 44.44, -1.02, -48.65
-28604, 44.44, -1.02, -48.82
-22872, 62.14, -3.60, -63.54
-21024, 62.14, -3.60, -64.39
-19216, 62.14, -1.43, -64.62
-13492, 52.57, -0.03, -64.76
-11712, 52.57, -0.03, -64.77
-9912, 52.57, -1.21, -64.97
-4180, 14.50, 4.34, -47.09
-2448, 14.50, 4.34, -46.33
-692, 14.50, -0.33, -46.38
1004, 14.50, -0.33, -46.43
6660, -17.76, 4.42, -28.45
8396, -17.76, 4.42, -27.67
10152, -17.76, 0.41, -27.60
15812, -33.73, 2.76, -16.50
17592, -33.73, 2.76, -16.01
19392, -33.73, 0.78, -15.88
21192, -33.73, 0.78, -15.76
26896, -42.05, 1.99, -7.68
28612, -42.05, 1.99, -7.34
30368, -42.05, 0.97, -7.18
-29524, -43.21, 1.14, -2.57
-27792, -43.21, 1.14, -2.37
-26020, -43.21, 0.99, -2.21
-24252, -43.21, 0.99, -2.04
-18608, -25.96, -1.55, -8.32
-16852, -25.96, -1.55, -8.62
-15084, -25.96, 0.60, -8.51
-9400, 2.42, -3.57, -23.11
-7648, 2.42, -3.57, -23.97
-5936, 2.42, -0.06, -23.98
-4244, 2.42, -0.06, -23.99
1384, 27.45, -3.76, -39.35
3120, 27.45, -3.76, -40.03
4872, 27.45, -0.63, -40.13
