-28489, 0.25, 1.80, -0.00
-28476, -0.02, 1.58, -0.04
-28463, 0.15, 3.28, 0.02
-28450, -0.08, 2.40, 0.04
-28437, -0.15, 0.73, -0.04
-28424, 0.20, 2.94, -0.03
-28411, 0.10, 4.05, -0.01
-28398, 0.04, 4.47, -0.03
-28385, 0.14, 6.00, -0.08
-28372, 0.32, 9.54, 0.04
-28359, -0.19, 7.40, 0.00
-28346, 0.00, 7.41, 0.02
-28333, -0.10, 6.34, 0.07
-28319, -0.30, 3.08, -0.03
-28306, 0.14, 4.63, 0.00
-28293, -0.02, 4.41, 0.02
-28280, -0.07, 3.70, -0.02
-28267, 0.11, 4.91, 0.07
-28254, -0.32, 1.36, 0.07
-28241, -0.29, -1.85, 0.02
-28228, -0.06, -2.54, 0.06
-28215, -0.25, -5.29, 0.04
-28202, -0.16, -7.10, 0.11
-28189, -0.45, -11.99, 0.02
-28176, -0.03, -12.35, -0.01
-28163, 0.05, -11.80, -0.01
-28149, 0.05, -11.28, -0.05
-28136, 0.22, -8.87, 0.01
-28123, -0.04, -9.34, 0.04
-28110, -0.17, -11.21, 0.13
-28097, -0.56, -17.35, -0.01
-28084, 0.08, -16.50, -0.07
-28071, 0.30, -13.23, -0.03
-28058, 0.10, -12.12, -0.06
-28045, 0.25, -9.40, 0.02
-28032, -0.10, -10.52, 0.05
-28019, -0.20, -12.75, 0.10
-28006, -0.42, -17.41, -0.02
-27993, 0.15, -15.81, -0.09
-27980, 0.40, -11.43, -0.06
-27967, 0.21, -9.14, -0.04
-27954, 0.14, -7.65, 0.05
-27941, -0.24, -10.32, 0.06
-27928, -0.24, -12.98, 0.14
-27915, -0.58, -19.40, 0.01
-27902, 0.02, -19.22, -0.07
-27889, 0.31, -15.79, -0.02
-27876, 0.04, -15.30, -0.03
-27863, 0.13, -13.83, 0.04
-27849, -0.21, -16.10, 0.09
-27836, -0.40, -20.45, -0.05
-27823, 0.24, -17.85, -0.01
-27810, 0.03, -17.54, -0.10
-27797, 0.44, -12.65, -0.08
-27784, 0.32, -9.17, 0.08
-27771, -0.39, -13.49, 0.08
-27758, -0.33, -17.12, -0.02
-27745, 0.13, -15.71, -0.03
-27732, 0.14, -14.12, -0.11
-27719, 0.47, -8.92, -0.13
-27706, 0.51, -3.30, 0.04
-27693, -0.21, -5.65, 0.00
-27679, -0.00, -5.69, -0.01
-27666, 0.02, -5.43, 0.03
-27653, -0.13, -6.86, -0.09
-27640, 0.41, -2.31, -0.07
-27627, 0.25, 0.49, 0.02
-27614, -0.12, -0.86, -0.01
-27601, 0.04, -0.37, -0.02
-27588, 0.07, 0.38, -0.04
-27575, 0.16, 2.10, -0.08
-27562, 0.33, 5.71, -0.15
-27549, 0.61, 12.48, -0.02
-27536, 0.04, 12.92, 0.01
-27523, -0.04, 12.43, 0.01
-27509, -0.02, 12.17, 0.03
-27496, -0.11, 10.90, -0.09
-27483, 0.41, 15.39, -0.14
-27470, 0.58, 21.82, -0.03
-27457, 0.07, 22.53, -0.03
-27444, 0.14, 24.11, -0.03
-27431, 0.11, 25.27, 0.09
-27418, -0.38, 21.04, -0.01
-27405, 0.08, 21.96, -0.05
-27392, 0.21, 24.26, -0.04
-27379, 0.16, 25.97, -0.01
-27366, 0.02, 26.18, -0.03
-27353, 0.11, 27.45, 0.01
-27340, -0.05, 26.88, 0.06
-27327, -0.24, 24.25, -0.05
-27314, 0.23, 26.84, -0.03
-27301, 0.11, 28.10, 0.09
-27288, -0.39, 23.83, -0.03
-27275, 0.17, 25.75, 0.00
-27262, -0.03, 25.44, 0.11
-27249, -0.49, 20.09, -0.03
-27236, 0.15, 21.77, 0.01
-27223, -0.07, 21.05, 0.02
-27209, -0.07, 20.23, -0.01
-27196, 0.07, 20.97, 0.05
-27183, -0.21, 18.67, 0.02
-27170, -0.08, 17.82, -0.08
-27157, 0.38, 21.97, 0.10
-27144, -0.47, 16.84, 0.01
-27131, -0.02, 16.61, -0.00
-27118, 0.02, 16.83, 0.01
-27105, -0.03, 16.55, 0.02
-27092, -0.08, 15.62, -0.00
-27079, 0.01, 15.75, -0.04
-27066, 0.20, 17.91, -0.01
-27053, 0.04, 18.36, -0.01
-27039, 0.02, 18.58, 0.00
-27026, -0.01, 18.47, -0.05
-27013, 0.20, 20.69, -0.06
-27000, 0.24, 23.31, 0.05
-26987, -0.25, 20.56, 0.02
-26974, -0.09, 19.58, 0.02
-26961, -0.06, 18.95, -0.00
-26948, 0.03, 19.24, 0.03
-26935, -0.13, 17.84, 0.08
-26922, -0.34, 14.12, 0.06
-26909, -0.21, 11.78, 0.10
-26896, -0.40, 7.37, 0.13
-26883, -0.52, 1.70, 0.07
-26869, -0.25, -1.10, 0.03
-26856, -0.12, -2.43, 0.06
-26843, -0.23, -4.95, 0.09
-26830, -0.37, -9.01, 0.14
-26817, -0.59, -15.55, -0.01
-26804, 0.08, -14.68, -0.02
-26791, 0.07, -13.88, -0.00
-26778, 0.00, -13.86, -0.11
-26765, 0.46, -8.78, -0.02
-26752, 0.04, -8.31, 0.06
-26739, -0.29, -11.49, 0.08
-26726, -0.33, -15.12, -0.02
-26713, 0.10, -13.97, -0.06
-26700, 0.25, -11.21, -0.07
-26687, 0.31, -7.85, -0.07
-26674, 0.27, -4.91, 0.03
-26661, -0.17, -6.77, 0.05
-26648, -0.20, -8.92, 0.03
-26635, -0.10, -9.97, 0.12
-26622, -0.53, -15.76, -0.05
-26609, 0.25, -13.05, -0.06
-26596, 0.26, -10.16, 0.04
-26583, -0.20, -12.32, -0.07
-26569, 0.30, -9.02, 0.01
-26556, -0.08, -9.91, 0.02
-26543, -0.10, -10.97, 0.03
-26530, -0.13, -12.45, -0.02
-26517, 0.10, -11.38, -0.09
-26504, 0.37, -7.27, -0.08
-26491, 0.32, -3.75, -0.04
-26478, 0.13, -2.28, -0.01
-26465, 0.01, -2.17, -0.01
-26452, 0.05, -1.57, 0.01
-26439, -0.04, -1.97, -0.01
-26426, 0.04, -1.50, -0.07
-26413, 0.30, 1.82, -0.05
-26399, 0.18, 3.80, -0.00
-26386, 0.00, 3.83, -0.01
-26373, 0.04, 4.31, -0.03
-26360, 0.11, 5.53, -0.11
-26347, 0.45, 10.53, 0.02
-26334, -0.13, 9.06, 0.02
-26321, -0.10, 8.00, 0.02
-26308, -0.07, 7.23, 0.11
-26295, -0.45, 2.23, 0.02
-26282, -0.06, 1.58, -0.05
-26269, 0.24, 4.24, -0.01
-26256, 0.03, 4.53, -0.04
-26243, 0.16, 6.26, 0.02
-26229, -0.12, 4.95, 0.06
-26216, -0.26, 2.11, -0.05
-26203, 0.23, 4.65, -0.03
-26190, 0.13, 6.04, -0.11
-26177, 0.48, 11.29, -0.07
-26164, 0.27, 14.30, 0.00
-26151, -0.04, 13.86, -0.02
-26138, 0.11, 15.03, -0.02
-26125, 0.06, 15.67, -0.13
-26112, 0.56, 21.88, -0.17
-26099, 0.70, 29.59, -0.15
-26086, 0.59, 36.09, -0.18
-26073, 0.72, 43.99, -0.06
-26060, 0.21, 46.25, -0.09
-26047, 0.37, 50.35, -0.16
-26034, 0.67, 57.67, -0.14
-26021, 0.53, 63.55, -0.19
-26008, 0.80, 72.35, -0.18
-25995, 0.72, 80.27, -0.15
-25982, 0.58, 86.66, -0.20
-25969, 0.84, 95.91, -0.20
-25956, 0.82, 104.91, -0.21
-25943, 0.84, 114.10, -0.27
-25929, 1.09, 126.14, -0.22
-25916, 0.88, 135.80, -0.19
-25903, 0.77, 144.23, -0.19
-25890, 0.78, 152.78, -0.17
-25877, 0.66, 160.08, -0.18
-25864, 0.73, 168.06, -0.19
-25851, 0.78, 176.64, -0.16
-25838, 0.65, 183.77, -0.12
-25825, 0.44, 188.63, -0.08
-25812, 0.31, 192.02, -0.08
-25799, 0.31, 195.41, -0.09
-25786, 0.35, 199.21, -0.09
-25773, 0.37, 203.31, -0.03
-25759, 0.11, 204.57, -0.01
-25746, 0.04, 205.06, 0.07
-25733, -0.30, 201.73, 0.03
-25720, -0.10, 200.60, 0.08
-25707, -0.36, 196.69, 0.06
-25694, -0.25, 193.93, -0.01
-25681, 0.09, 194.88, 0.07
-25668, -0.33, 191.22, 0.08
-25655, -0.33, 187.61, 0.03
-25642, -0.10, 186.54, 0.13
-25629, -0.54, 180.58, 0.11
-25616, -0.42, 176.00, 0.10
-25603, -0.41, 171.48, 0.15
-25589, -0.63, 164.54, 0.09
-25576, -0.32, 161.05, 0.09
-25563, -0.35, 157.14, 0.10
-25550, -0.39, 152.83, 0.02
-25537, -0.04, 152.40, 0.09
-25524, -0.39, 148.08, 0.11
-25511, -0.44, 143.23, 0.06
-25498, -0.21, 140.90, 0.09
-25485, -0.38, 136.73, 0.10
-25472, -0.41, 132.23, 0.08
-25459, -0.30, 128.93, 0.11
-25446, -0.44, 124.08, 0.15
-25433, -0.60, 117.48, 0.13
-25420, -0.52, 111.77, 0.13
-25407, -0.54, 105.82, 0.20
-25394, -0.83, 96.66, 0.21
-25381, -0.84, 87.39, 0.24
-25368, -0.97, 76.69, 0.28
-25355, -1.12, 64.35, 0.25
-25342, -0.97, 53.65, 0.29
-25329, -1.18, 40.67, 0.34
-25316, -1.38, 25.45, 0.36
-25303, -1.46, 9.44, 0.31
-25289, -1.21, -3.85, 0.29
-25276, -1.17, -16.69, 0.31
-25263, -1.26, -30.52, 0.18
-25250, -0.69, -38.09, 0.32
-25237, -1.35, -52.96, 0.25
-25224, -0.98, -63.72, 0.19
-25211, -0.72, -71.60, 0.29
-25198, -1.22, -84.96, 0.21
-25185, -0.81, -93.83, 0.23
-25172, -0.92, -103.94, 0.28
-25159, -1.16, -116.66, 0.18
-25146, -0.67, -123.98, 0.17
-25133, -0.68, -131.50, 0.18
-25119, -0.74, -139.67, 0.10
-25106, -0.38, -143.85, 0.11
-25093, -0.44, -148.65, 0.15
-25080, -0.63, -155.59, 0.11
-25067, -0.43, -160.34, 0.11
-25054, -0.44, -165.15, 0.12
-25041, -0.48, -170.47, 0.08
-25028, -0.29, -173.62, 0.08
-25015, -0.32, -177.14, 0.06
-25002, -0.23, -179.67, 0.05
-24989, -0.19, -181.74, 0.07
-24976, -0.27, -184.74, 0.04
-24963, -0.16, -186.50, 0.11
-24949, -0.44, -191.40, 0.11
-24936, -0.44, -196.28, 0.08
-24923, -0.32, -199.77, 0.04
-24910, -0.12, -201.12, 0.03
-24897, -0.12, -202.41, -0.02
-24884, 0.12, -201.14, 0.02
-24871, -0.10, -202.29, -0.01
-24858, 0.06, -201.65, -0.05
-24845, 0.21, -199.29, 0.00
